timestamp,x,y,theta
1766147872769546275,0.53,3.031,0.368701
1766147873030089874,0.559,3.026,0.368701
1766147873321693804,0.583,3.025,0.375246
1766147873620401742,0.593,3.011,0.3807
1766147873920003045,0.602,3.005,0.395972
1766147874219808764,0.609,3.005,0.397062
1766147874521212891,0.619,2.991,0.398153
1766147874820186517,0.616,2.989,0.398153
1766147875118257234,0.618,2.985,0.403607
1766147875419173413,0.631,2.98,0.399244
1766147875720908860,0.64,2.98,0.391608
1766147876027180998,0.646,2.978,0.388336
1766147876321772045,0.638,2.993,0.398153
1766147876622268924,0.633,2.986,0.398153
1766147876920575087,0.635,2.996,0.397062
1766147877231979049,0.633,2.996,0.398153
1766147877516063728,0.632,2.996,0.398153
1766147877816005559,0.626,2.996,0.395972
1766147878120838338,0.627,2.988,0.395972
1766147878414962320,0.621,2.993,0.395972
1766147878718648988,0.609,3.008,0.399244
1766147879020795214,0.58,3.047,0.402517
1766147879320392933,0.555,3.081,0.401426
1766147879618396699,0.525,3.116,0.399244
1766147879921122193,0.525,3.109,0.398153
1766147880221912352,0.51,3.11,0.398153
1766147880518246737,0.515,3.11,0.398153
1766147880818623198,0.534,3.094,0.398153
1766147881117586128,0.546,3.08,0.398153
1766147881430755267,0.547,3.08,0.398153
1766147881718337306,0.532,3.1,0.399244
1766147882017357915,0.542,3.085,0.398153
1766147882319598279,0.546,3.085,0.398153
1766147882619435526,0.556,3.065,0.39379
1766147882921757242,0.563,3.077,0.39379
1766147883221969508,0.581,3.08,0.395972
1766147883520953394,0.592,3.067,0.395972
1766147883818995494,0.581,3.089,0.397062
1766147884131570099,0.605,3.1,0.395972
1766147884431661525,0.6,3.082,0.395972
1766147884721581700,0.6,3.072,0.395972
1766147885031178566,0.581,3.081,0.395972
1766147885331893550,0.578,3.078,0.397062
1766147885621851240,0.574,3.075,0.398153
1766147885931741605,0.549,3.095,0.39379
1766147886222277890,0.556,3.092,0.388336
1766147886534643684,0.574,3.073,0.387245
1766147886822337207,0.566,3.063,0.398153
1766147887120788163,0.558,3.057,0.400335
1766147887421794163,0.558,3.055,0.402517
1766147887717498194,0.536,3.077,0.404698
1766147888019389478,0.514,3.101,0.401426
1766147888317950484,0.51,3.12,0.397062
1766147888619929375,0.51,3.131,0.389427
1766147888931040897,0.523,3.112,0.386154
1766147889221434627,0.517,3.113,0.388336
1766147889523909718,0.491,3.142,0.388336
1766147889822367407,0.476,3.161,0.388336
1766147890120821011,0.469,3.172,0.388336
1766147890439895997,0.453,3.191,0.390517
1766147890731651836,0.444,3.199,0.390517
1766147891021000592,0.467,3.177,0.390517
1766147891319206566,0.486,3.153,0.390517
1766147891618717988,0.484,3.154,0.392699
1766147891924457424,0.482,3.172,0.392699
1766147892224710052,0.48,3.168,0.392699
1766147892522151847,0.477,3.177,0.392699
