timestamp,values
1766147990883075177,"[285.99609375, 284.23828125]"
1766147991182836395,"[285.99609375, 284.23828125]"
1766147991482567321,"[285.99609375, 284.23828125]"
1766147991783245696,"[285.99609375, 284.23828125]"
1766147992083583549,"[285.99609375, 284.23828125]"
1766147992381973901,"[285.99609375, 284.23828125]"
1766147992683491340,"[285.99609375, 284.23828125]"
1766147992981345738,"[285.99609375, 284.23828125]"
1766147993282793721,"[285.99609375, 284.23828125]"
1766147993583097226,"[285.99609375, 284.23828125]"
1766147993883115626,"[285.99609375, 284.23828125]"
1766147994182592850,"[285.99609375, 284.23828125]"
1766147994481860268,"[285.99609375, 284.23828125]"
1766147994783496649,"[285.99609375, 284.23828125]"
1766147995083357222,"[285.99609375, 284.23828125]"
1766147995380675353,"[285.99609375, 284.23828125]"
1766147995684615398,"[285.99609375, 284.23828125]"
1766147995981033753,"[285.99609375, 284.23828125]"
1766147996280838560,"[285.99609375, 284.23828125]"
1766147996582891102,"[285.99609375, 284.23828125]"
1766147996883839666,"[285.99609375, 284.23828125]"
1766147997181368926,"[285.99609375, 284.23828125]"
1766147997484473218,"[285.99609375, 284.23828125]"
1766147997782126325,"[285.99609375, 284.23828125]"
1766147998081440843,"[285.99609375, 284.23828125]"
1766147998381953922,"[285.99609375, 284.23828125]"
1766147998682567250,"[285.99609375, 284.23828125]"
1766147998981827486,"[285.99609375, 284.23828125]"
1766147999280521286,"[285.99609375, 284.23828125]"
1766147999584862156,"[285.99609375, 284.23828125]"
1766147999880392495,"[285.99609375, 284.23828125]"
1766148000183059109,"[285.99609375, 284.23828125]"
1766148000482685647,"[285.99609375, 284.23828125]"
1766148000782661742,"[285.99609375, 284.23828125]"
1766148001081549747,"[285.99609375, 284.23828125]"
1766148001384481571,"[285.99609375, 284.23828125]"
1766148001683171690,"[285.99609375, 284.23828125]"
1766148001984275008,"[285.99609375, 284.23828125]"
1766148002283262860,"[285.99609375, 284.23828125]"
1766148002583025482,"[285.99609375, 284.23828125]"
1766148002882401695,"[285.99609375, 284.23828125]"
1766148003183346712,"[285.99609375, 284.23828125]"
1766148003480101109,"[285.99609375, 284.23828125]"
1766148003782189673,"[285.99609375, 284.23828125]"
1766148004081087862,"[285.99609375, 284.23828125]"
1766148004382750875,"[285.99609375, 284.23828125]"
1766148004683494641,"[285.99609375, 284.23828125]"
1766148004983228661,"[285.99609375, 284.23828125]"
1766148005283048534,"[285.99609375, 284.23828125]"
1766148005584567573,"[285.99609375, 284.23828125]"
1766148005880816762,"[285.99609375, 284.23828125]"
1766148006182409375,"[285.99609375, 284.23828125]"
1766148006482105453,"[285.99609375, 284.23828125]"
1766148006782977237,"[285.99609375, 284.23828125]"
1766148007083257175,"[285.99609375, 284.23828125]"
1766148007382925822,"[285.99609375, 284.23828125]"
1766148007681570862,"[285.99609375, 284.23828125]"
1766148007980511670,"[285.99609375, 284.23828125]"
1766148008280969381,"[285.99609375, 284.23828125]"
1766148008583247157,"[285.99609375, 284.23828125]"
1766148008883155954,"[285.99609375, 284.23828125]"
1766148009184444753,"[285.99609375, 284.23828125]"
1766148009480506336,"[285.99609375, 284.23828125]"
1766148009783693572,"[285.99609375, 284.23828125]"
1766148010081830235,"[285.99609375, 284.23828125]"
1766148010380368377,"[285.99609375, 284.23828125]"
1766148010681908558,"[285.99609375, 284.23828125]"
1766148010984640533,"[285.99609375, 284.23828125]"
1766148011283041333,"[285.99609375, 284.23828125]"
1766148011582556110,"[285.99609375, 284.23828125]"
1766148011883521376,"[285.99609375, 284.23828125]"
1766148012181464150,"[285.99609375, 284.23828125]"
1766148012481715298,"[285.99609375, 284.23828125]"
1766148012783226656,"[285.99609375, 284.23828125]"
1766148013082299544,"[285.99609375, 284.23828125]"
1766148013384608789,"[285.99609375, 284.23828125]"
1766148013684288846,"[285.99609375, 284.23828125]"
1766148013982433904,"[285.99609375, 284.23828125]"
1766148014282883873,"[285.99609375, 284.23828125]"
1766148014582015651,"[285.99609375, 284.23828125]"
1766148014883940804,"[285.99609375, 284.23828125]"
1766148015182682500,"[285.99609375, 284.23828125]"
1766148015481361580,"[285.99609375, 284.23828125]"
1766148015784308607,"[285.99609375, 284.23828125]"
1766148016083394887,"[285.99609375, 284.23828125]"
1766148016383677981,"[285.99609375, 284.23828125]"
1766148016685680010,"[285.99609375, 284.23828125]"
1766148016983022438,"[285.99609375, 284.23828125]"
1766148017282988484,"[285.99609375, 284.23828125]"
1766148017581236369,"[285.99609375, 284.23828125]"
1766148017883941735,"[285.99609375, 284.23828125]"
1766148018183316450,"[285.99609375, 284.23828125]"
1766148018482654969,"[285.99609375, 284.23828125]"
1766148018781465630,"[285.99609375, 284.23828125]"
1766148019082246475,"[285.99609375, 284.23828125]"
1766148019382658328,"[285.99609375, 284.23828125]"
1766148019683721853,"[285.99609375, 284.23828125]"
