timestamp,x,y,theta
1766147990929440578,4.005,4.968,-3.311762
1766147991221557007,3.963,5.059,-3.005239
1766147991527055145,3.922,5.171,-2.921245
1766147991818260948,3.849,5.282,0.0
1766147992128547932,3.76,5.416,-3.035782
1766147992417150382,3.636,5.516,-3.431754
1766147992726885918,3.523,5.667,-3.865904
1766147993016503574,3.515,5.707,-4.317508
1766147993317803120,3.496,5.805,-4.632758
1766147993628656492,3.511,5.76,-4.826926
1766147993918533552,3.474,5.723,-4.626213
1766147994227274854,3.44,5.578,-4.150611
1766147994526475122,3.366,5.517,-3.75573
1766147994818287048,3.259,5.478,-3.723005
1766147995131490953,3.13,5.47,-3.777547
1766147995428819864,3.001,5.426,-3.982623
1766147995717650921,2.864,5.391,-4.089525
1766147996019758101,2.703,5.339,-4.326235
1766147996315730608,2.576,5.244,-4.478951
1766147996621116374,2.411,5.116,-4.512767
1766147996917931915,2.265,4.938,-4.572763
1766147997228736814,2.124,4.679,-4.475679
1766147997519799451,1.973,4.383,-4.314236
1766147997819799307,1.798,4.095,-4.210607
1766147998130501178,1.538,3.726,-4.265148
1766147998415613814,1.398,3.37,-4.250968
1766147998716311602,1.26,3.024,-4.18879
1766147999018204605,1.092,2.729,-4.238968
1766147999329044816,0.933,2.441,-4.31969
1766147999619937309,0.785,2.123,-4.104796
1766147999913925618,0.584,1.834,-3.959716
1766148000228532582,0.419,1.537,-4.031711
1766148000527735180,0.252,1.255,-4.077525
1766148000828570644,0.099,0.983,-3.990259
1766148001116391848,-0.052,0.741,-4.093888
1766148001430879854,-0.226,0.539,-4.225878
1766148001718403991,-0.365,0.308,-4.270603
1766148002018482364,-0.459,-0.062,-4.223697
1766148002318683010,-0.58,-0.293,-4.423319
1766148002618898180,-0.621,-0.73,-4.633849
1766148002930912604,-0.663,-0.849,-4.9371
1766148003219602524,-0.656,-0.918,-5.423611
1766148003518823400,-0.585,-0.918,0.0
1766148003830862705,-0.368,-0.886,0.059996
1766148004117818107,-0.205,-0.864,0.028362
1766148004423265330,0.0,-0.857,-0.059996
1766148004728329821,0.254,-0.786,-0.11781
1766148005017675124,0.505,-0.751,-0.080721
1766148005319139828,0.867,-0.633,-0.062177
1766148005617346700,1.201,-0.546,-0.172351
1766148005926289961,1.536,-0.448,-0.317432
1766148006217071432,1.873,-0.341,-0.307614
1766148006525658420,2.238,-0.223,-0.355611
1766148006826471292,2.582,-0.103,-0.453786
1766148007116827456,2.88,0.034,-0.597775
1766148007421724007,3.148,0.217,-0.718857
1766148007731654641,3.367,0.417,-0.916298
1766148008028471444,3.563,0.602,-1.1421
1766148008318816443,3.745,0.81,-1.172643
1766148008627958253,3.907,1.028,-1.041743
1766148008926725845,4.034,1.277,-1.097376
1766148009220377851,4.17,1.499,-1.178097
1766148009528276358,4.31,1.755,-1.137737
1766148009817846859,4.434,2.023,-0.890118
1766148010118713839,4.574,2.277,-0.899935
1766148010428671857,4.711,2.549,-0.868301
1766148010718881160,4.854,2.761,-0.805033
1766148011019390362,5.013,2.998,-0.697041
1766148011318896364,5.101,3.398,-0.878119
1766148011617612827,5.212,3.566,-1.245729
1766148011918841335,5.256,3.792,-1.559888
1766148012228594919,5.315,3.905,-1.714786
1766148012527307417,5.308,4.026,-1.951496
1766148012816723238,5.283,4.118,-2.112939
1766148013130469914,5.263,4.269,-2.263474
1766148013419692914,5.187,4.395,-2.427098
1766148013718320713,5.036,4.416,-2.771801
1766148014028729192,4.894,4.476,-3.236495
1766148014326912626,4.708,4.424,-3.579016
1766148014617519925,4.542,4.386,-3.787364
1766148014926972203,4.432,4.263,-4.210607
1766148015230257603,4.313,4.109,-4.610942
1766148015528085410,4.267,3.866,-4.744023
1766148015831771459,4.251,3.614,-4.540038
1766148016118758959,4.153,3.393,-4.584762
1766148016417490513,4.105,3.122,-4.704753
1766148016718838580,4.157,2.775,-4.813836
1766148017023704095,4.22,2.527,-4.87165
1766148017309030684,4.347,2.328,-5.191264
1766148017611109829,4.519,2.148,0.497419
1766148017919380746,4.737,2.095,-0.017453
1766148018228114586,4.806,2.103,-0.418879
1766148018527827334,4.836,2.316,-0.989384
1766148018815197223,4.843,2.501,-1.469349
1766148019128308837,4.833,2.676,-1.714786
1766148019414339250,4.806,2.915,-1.786781
1766148019726424229,4.718,3.172,-2.003856
