timestamp,values
1766148215280152455,"[285.99609375, 284.23828125]"
1766148215580664267,"[285.908203125, 284.23828125]"
1766148215880071094,"[285.908203125, 284.23828125]"
1766148216180093758,"[285.99609375, 284.23828125]"
1766148216479932263,"[285.908203125, 284.23828125]"
1766148216780063321,"[285.908203125, 284.23828125]"
1766148217079975144,"[285.99609375, 284.23828125]"
1766148217380316542,"[285.908203125, 284.23828125]"
1766148217679930898,"[285.908203125, 284.23828125]"
1766148217979921639,"[285.99609375, 284.23828125]"
1766148218280030788,"[285.99609375, 284.23828125]"
1766148218580005574,"[285.908203125, 284.23828125]"
1766148218882003855,"[285.908203125, 284.23828125]"
1766148219181567151,"[285.908203125, 284.23828125]"
1766148219481515402,"[285.908203125, 284.23828125]"
1766148219781313402,"[285.99609375, 284.23828125]"
1766148220081194413,"[285.99609375, 284.23828125]"
1766148220380414581,"[285.908203125, 284.23828125]"
1766148220681755842,"[285.908203125, 284.23828125]"
1766148220980886783,"[285.99609375, 284.23828125]"
1766148221280123447,"[285.908203125, 284.23828125]"
1766148221581159272,"[285.99609375, 284.23828125]"
1766148221880797655,"[285.99609375, 284.23828125]"
1766148222181598905,"[285.908203125, 284.23828125]"
1766148222480872070,"[285.99609375, 284.23828125]"
1766148222781065548,"[285.99609375, 284.23828125]"
1766148223081103552,"[285.908203125, 284.23828125]"
1766148223380110127,"[285.908203125, 284.23828125]"
1766148223680829295,"[285.99609375, 284.23828125]"
1766148223982597425,"[285.908203125, 284.23828125]"
1766148224280857223,"[285.908203125, 284.23828125]"
1766148224580731603,"[285.99609375, 284.23828125]"
1766148224881907345,"[285.908203125, 284.23828125]"
1766148225180420435,"[285.908203125, 284.23828125]"
1766148225480881228,"[285.908203125, 284.23828125]"
1766148225781501612,"[285.908203125, 284.23828125]"
1766148226080859508,"[285.908203125, 284.23828125]"
1766148226380746533,"[285.908203125, 284.23828125]"
1766148226681746617,"[285.99609375, 284.23828125]"
1766148226979963363,"[285.908203125, 284.23828125]"
1766148227281724319,"[285.908203125, 284.23828125]"
1766148227580837674,"[285.908203125, 284.23828125]"
1766148227880729789,"[285.908203125, 284.23828125]"
1766148228180149400,"[285.908203125, 284.23828125]"
1766148228481921212,"[285.908203125, 284.23828125]"
1766148228780999081,"[285.908203125, 284.23828125]"
1766148229081525817,"[285.99609375, 284.23828125]"
1766148229382796428,"[285.908203125, 284.23828125]"
1766148229680289156,"[285.99609375, 284.23828125]"
1766148229981319391,"[285.99609375, 284.23828125]"
1766148230280620835,"[285.908203125, 284.23828125]"
1766148230580983606,"[285.908203125, 284.23828125]"
1766148230881832432,"[285.908203125, 284.23828125]"
1766148231181274881,"[285.908203125, 284.23828125]"
1766148231480520877,"[285.908203125, 284.23828125]"
1766148231781715539,"[285.908203125, 284.23828125]"
1766148232081669788,"[285.99609375, 284.23828125]"
1766148232380769692,"[285.908203125, 284.23828125]"
1766148232679949588,"[285.908203125, 284.23828125]"
1766148232980865374,"[285.99609375, 284.23828125]"
1766148233281926686,"[285.908203125, 284.23828125]"
1766148233581547482,"[285.908203125, 284.23828125]"
1766148233880696589,"[285.99609375, 284.23828125]"
1766148234181232448,"[285.908203125, 284.23828125]"
1766148234481706659,"[285.908203125, 284.23828125]"
1766148234781137611,"[285.908203125, 284.23828125]"
1766148235080707995,"[285.908203125, 284.23828125]"
1766148235383306495,"[285.908203125, 284.23828125]"
1766148235680691166,"[285.908203125, 284.23828125]"
1766148235980116705,"[285.908203125, 284.23828125]"
1766148236280540841,"[285.908203125, 284.23828125]"
1766148236580625441,"[285.99609375, 284.23828125]"
1766148236880641086,"[285.99609375, 284.23828125]"
1766148237182570154,"[285.99609375, 284.23828125]"
1766148237480773049,"[285.99609375, 284.23828125]"
1766148237781625296,"[285.908203125, 284.23828125]"
1766148238081631777,"[285.99609375, 284.23828125]"
1766148238380545541,"[285.99609375, 284.23828125]"
1766148238681358601,"[285.908203125, 284.150390625]"
1766148238980943799,"[285.99609375, 284.23828125]"
1766148239280522629,"[285.99609375, 284.23828125]"
1766148239581652611,"[285.908203125, 284.23828125]"
1766148239881098330,"[285.908203125, 284.23828125]"
1766148240180207393,"[285.99609375, 284.23828125]"
1766148240480166467,"[285.908203125, 284.23828125]"
1766148240781320411,"[285.99609375, 284.23828125]"
1766148241081077911,"[285.99609375, 284.23828125]"
1766148241381207778,"[285.908203125, 284.23828125]"
1766148241682126396,"[285.99609375, 284.23828125]"
1766148241980418420,"[285.908203125, 284.23828125]"
1766148242280151064,"[285.99609375, 284.23828125]"
1766148242582279564,"[285.908203125, 284.23828125]"
1766148242880132821,"[285.908203125, 284.23828125]"
1766148243180351625,"[285.99609375, 284.23828125]"
1766148243480620602,"[285.99609375, 284.23828125]"
1766148243780618507,"[285.99609375, 284.23828125]"
1766148244080775175,"[285.908203125, 284.23828125]"
1766148244381371350,"[285.99609375, 284.23828125]"
1766148244680800947,"[285.908203125, 284.23828125]"
1766148244982378113,"[285.99609375, 284.23828125]"
1766148245282482429,"[285.99609375, 284.23828125]"
1766148245582382446,"[285.908203125, 284.23828125]"
1766148245881918097,"[285.99609375, 284.23828125]"
1766148246180343098,"[285.99609375, 284.23828125]"
1766148246480642461,"[285.908203125, 284.23828125]"
1766148246780855081,"[285.908203125, 284.23828125]"
1766148247082078182,"[285.908203125, 284.23828125]"
1766148247380474874,"[285.99609375, 284.23828125]"
1766148247680542295,"[285.908203125, 284.23828125]"
1766148247980515603,"[285.908203125, 284.23828125]"
1766148248280553201,"[285.908203125, 284.23828125]"
1766148248581976210,"[285.908203125, 284.23828125]"
1766148248880317664,"[285.908203125, 284.23828125]"
1766148249181045852,"[285.908203125, 284.23828125]"
1766148249482003134,"[285.908203125, 284.23828125]"
1766148249781193288,"[285.908203125, 284.23828125]"
1766148250080596533,"[285.99609375, 284.23828125]"
1766148250380804852,"[285.908203125, 284.23828125]"
1766148250680514633,"[285.908203125, 284.23828125]"
1766148250982607646,"[285.99609375, 284.23828125]"
1766148251281088938,"[285.908203125, 284.23828125]"
1766148251581232038,"[285.99609375, 284.23828125]"
1766148251880628409,"[285.908203125, 284.23828125]"
1766148252180351333,"[285.99609375, 284.23828125]"
