timestamp,x,y,theta
1766148215335105590,4.114,-0.368,-2.545999
1766148215633156838,3.955,-0.289,-2.219841
1766148215912542355,3.839,-0.191,-1.975495
1766148216229646597,3.678,-0.068,-1.62752
1766148216516718163,3.567,0.103,-1.500983
1766148216812207848,3.508,0.318,-1.538071
1766148217114051412,3.435,0.56,-1.515164
1766148217414226779,3.378,0.84,-1.253365
1766148217713351315,3.356,1.142,-1.185733
1766148218013650399,3.363,1.459,-1.203186
1766148218320913340,3.39,1.732,-1.318814
1766148218631188110,3.405,2.003,-1.572978
1766148218919455956,3.359,2.191,-2.045308
1766148219227057363,3.255,2.259,-2.721623
1766148219522053494,3.142,2.187,-3.325943
1766148219827146656,3.136,2.059,-3.796091
1766148220127957008,3.128,1.93,-4.076435
1766148220430538978,3.152,1.726,-4.210607
1766148220727961385,3.186,1.501,-4.168064
1766148221016843739,3.287,1.214,-4.088434
1766148221329400863,3.377,0.911,-4.189881
1766148221624873487,3.49,0.622,-4.384049
1766148221928392295,3.59,0.27,-4.367686
1766148222213369488,3.792,0.014,-4.862924
1766148222527091179,4.055,-0.204,0.577049
1766148222816338939,4.312,-0.246,-0.198531
1766148223126977146,4.486,-0.186,-0.887936
1766148223426871575,4.609,-0.028,-1.291544
1766148223727078943,4.807,0.309,-1.636246
1766148224016438235,4.742,0.546,-1.630792
1766148224327363516,4.657,0.81,-1.245729
1766148224627087429,4.589,1.085,-0.811578
1766148224927667333,4.528,1.356,-0.77449
1766148225227300977,4.454,1.661,-0.854121
1766148225527211786,4.352,1.979,-1.005746
1766148225827316776,4.277,2.291,-1.15519
1766148226124808924,4.189,2.616,-1.222821
1766148226424680278,4.101,2.885,-1.578432
1766148226727432537,3.957,3.057,-2.42928
1766148227026797613,3.916,3.126,-3.448116
1766148227326570709,3.923,3.082,-4.036074
1766148227627873079,3.963,2.992,-3.989168
1766148227925533497,3.961,2.826,-3.697916
1766148228228317511,3.907,2.619,-3.169954
1766148228517068912,3.813,2.424,-2.559089
1766148228824457578,3.677,2.286,-2.032218
1766148229120295865,3.475,2.166,-1.868593
1766148229428048225,3.214,2.116,-1.698424
1766148229715796315,2.915,2.103,-1.56207
1766148230020664294,2.538,2.209,-1.515164
1766148230327001115,2.193,2.326,-1.655881
1766148230628495637,1.863,2.475,-1.752965
1766148230927208651,1.502,2.671,-1.78569
1766148231220512286,1.143,2.887,-2.046399
1766148231513609951,0.77,3.096,-2.002765
1766148231815141991,0.391,3.328,-1.841322
1766148232116412359,0.025,3.532,-1.974404
1766148232425115037,-0.34,3.735,-2.295108
1766148232716997831,-0.709,3.868,-2.369284
1766148233015369427,-1.042,3.958,0.0
1766148233327933679,-1.372,4.02,-2.684535
1766148233627362154,-1.73,4.029,-2.806708
1766148233925227898,-1.998,3.992,-2.49473
1766148234216458650,-2.232,3.973,0.0
1766148234516381621,-2.449,3.966,-1.781327
1766148234826839677,-2.524,4.029,-1.082104
1766148235114796565,-2.491,4.109,-0.614138
1766148235417224541,-2.395,4.184,-0.272708
1766148235713305804,-2.233,4.287,-0.334885
1766148236027416032,-2.044,4.459,-0.242164
1766148236327454316,-1.803,4.66,-0.098175
1766148236627316813,-1.52,4.864,-0.098175
1766148236927225427,-1.237,5.091,-0.11781
1766148237227330442,-0.919,5.336,-0.110174
1766148237526661116,-0.573,5.555,0.027271
1766148237827358702,-0.21,5.784,0.005454
1766148238117412566,0.158,5.986,0.30216
1766148238424841861,0.695,6.017,-5.451972
1766148238727924419,1.054,6.184,-5.51524
