timestamp,values
1766147619480219406,"[0.087890625, 0.703125]"
1766147619780351459,"[0.087890625, 0.703125]"
1766147620081148761,"[0.087890625, 0.703125]"
1766147620380001945,"[0.087890625, 0.703125]"
1766147620680230840,"[0.087890625, 0.703125]"
1766147620980494945,"[0.087890625, 0.703125]"
1766147621280114680,"[0.087890625, 0.703125]"
1766147621580845398,"[0.087890625, 0.703125]"
1766147621880845685,"[0.087890625, 0.703125]"
1766147622180867266,"[0.087890625, 0.703125]"
1766147622480894451,"[0.087890625, 0.703125]"
1766147622780474053,"[0.087890625, 0.703125]"
1766147623080802201,"[0.17578125, 0.703125]"
1766147623380258196,"[0.087890625, 0.703125]"
1766147623680100730,"[0.17578125, 0.703125]"
1766147623979916804,"[0.087890625, 0.703125]"
1766147624279973580,"[0.087890625, 0.703125]"
1766147624580308739,"[0.087890625, 0.703125]"
1766147624880227839,"[0.087890625, 0.703125]"
1766147625179955232,"[0.087890625, 0.703125]"
1766147625480392773,"[0.17578125, 0.703125]"
1766147625782055559,"[0.087890625, 0.703125]"
1766147626080467929,"[0.087890625, 0.703125]"
1766147626381573641,"[0.17578125, 0.703125]"
1766147626680904423,"[0.17578125, 0.703125]"
1766147626980319362,"[0.087890625, 0.703125]"
1766147627280297087,"[0.087890625, 0.703125]"
1766147627580135171,"[0.087890625, 0.703125]"
1766147627880259096,"[0.087890625, 0.703125]"
1766147628180026382,"[0.087890625, 0.703125]"
1766147628481373123,"[0.087890625, 0.703125]"
1766147628782825244,"[0.087890625, 0.703125]"
1766147629080353720,"[0.17578125, 0.703125]"
1766147629381132801,"[0.087890625, 0.703125]"
1766147629680268485,"[0.087890625, 0.703125]"
1766147629981189713,"[0.087890625, 0.703125]"
1766147630280105705,"[0.087890625, 0.703125]"
1766147630580352912,"[0.087890625, 0.703125]"
1766147630880037666,"[0.087890625, 0.703125]"
1766147631180435376,"[0.087890625, 0.703125]"
1766147631480552958,"[0.087890625, 0.703125]"
1766147631780440031,"[0.087890625, 0.703125]"
1766147632080315810,"[0.087890625, 0.791015625]"
1766147632380626107,"[0.087890625, 0.703125]"
1766147632680330414,"[0.087890625, 0.703125]"
1766147632979985378,"[0.087890625, 0.791015625]"
1766147633280543478,"[0.087890625, 0.703125]"
1766147633580417534,"[0.087890625, 0.791015625]"
1766147633880781182,"[0.087890625, 0.791015625]"
1766147634180077372,"[0.087890625, 0.791015625]"
1766147634480378203,"[0.087890625, 0.791015625]"
1766147634780610710,"[0.087890625, 0.703125]"
1766147635080230590,"[0.087890625, 0.703125]"
1766147635380158543,"[0.087890625, 0.703125]"
1766147635679895511,"[0.087890625, 0.791015625]"
1766147635980654115,"[0.087890625, 0.791015625]"
1766147636280052161,"[0.087890625, 0.703125]"
1766147636579914402,"[0.087890625, 0.791015625]"
1766147636879790647,"[0.087890625, 0.703125]"
1766147637179881161,"[0.087890625, 0.791015625]"
1766147637479914926,"[0.087890625, 0.791015625]"
1766147637780466631,"[0.087890625, 0.791015625]"
1766147638080934419,"[0.087890625, 0.703125]"
1766147638380495614,"[0.087890625, 0.791015625]"
1766147638680941084,"[0.087890625, 0.791015625]"
