timestamp,x,y,theta
1766147620726239581,0.636,3.152,-4.426591
1766147621027055488,0.555,3.186,-4.077525
1766147621315658358,0.468,3.198,-3.883358
1766147621625348432,0.395,3.204,-3.818999
1766147621917329337,0.349,3.227,0.0
1766147622226593507,0.308,3.243,-3.769911
1766147622522883359,0.273,3.264,-3.763366
1766147622825356664,0.23,3.263,-3.762275
1766147623126155788,0.231,3.243,-3.762275
1766147623415221343,0.227,3.217,-3.762275
1766147623726841113,0.231,3.208,-3.762275
1766147624028433746,0.23,3.201,-3.762275
1766147624326195982,0.229,3.186,-3.762275
1766147624625756521,0.223,3.177,-3.762275
1766147624927147928,0.239,3.175,-3.762275
1766147625226349958,0.236,3.165,-3.762275
1766147625518520183,0.237,3.16,0.0
1766147625827427668,0.238,3.163,-3.762275
1766147626121143162,0.234,3.163,-3.762275
1766147626425496821,0.239,3.165,-3.762275
1766147626723859632,0.251,3.173,-3.762275
1766147627026334145,0.26,3.166,-3.762275
1766147627326568607,0.261,3.155,-3.762275
1766147627626260032,0.281,3.156,-3.762275
1766147627926786983,0.288,3.147,-3.762275
1766147628225959480,0.292,3.144,-3.762275
1766147628526016072,0.294,3.136,-3.762275
1766147628825943297,0.297,3.134,-3.762275
1766147629117916272,0.296,3.137,-3.762275
1766147629425743326,0.289,3.138,-3.762275
1766147629727908026,0.281,3.147,-3.762275
1766147630027221138,0.28,3.153,-3.762275
1766147630327091186,0.289,3.151,-3.762275
1766147630628926494,0.288,3.147,-3.762275
1766147630925920733,0.289,3.149,-3.762275
1766147631223178355,0.294,3.154,-3.762275
1766147631523157752,0.298,3.153,-3.762275
1766147631815834812,0.309,3.157,-3.762275
1766147632140938592,0.317,3.16,-3.762275
1766147632426247522,0.319,3.168,-3.762275
1766147632725435978,0.32,3.17,-3.762275
1766147633014590897,0.328,3.17,-3.762275
1766147633318899603,0.327,3.167,-3.762275
1766147633624674769,0.321,3.156,-3.762275
1766147633925291291,0.319,3.152,-3.762275
1766147634225991378,0.315,3.151,-3.762275
1766147634526047606,0.334,3.167,-3.762275
1766147634825805809,0.334,3.172,-3.762275
1766147635123291754,0.27,3.135,-3.762275
1766147635419090409,0.292,3.15,-3.762275
1766147635725525567,0.306,3.157,-3.837543
1766147636014606799,0.321,3.164,-4.090615
1766147636327617238,0.332,3.167,-4.117886
1766147636624324361,0.341,3.162,-4.134249
1766147636925773258,0.321,3.193,-4.139703
1766147637211631183,0.296,3.239,-4.142975
1766147637525375878,0.291,3.261,-4.142975
1766147637826418647,0.314,3.25,-4.142975
1766147638125350326,0.327,3.234,-4.142975
1766147638426326452,0.302,3.2,-4.142975
1766147638726716458,0.301,3.203,-4.142975
1766147639025282086,0.309,3.206,-4.142975
1766147639327591456,0.316,3.213,-4.142975
1766147639625417671,0.32,3.222,-4.142975
1766147639916028467,0.325,3.232,-4.142975
1766147640224975280,0.329,3.244,-4.142975
1766147640523016415,0.308,3.23,-4.142975
1766147640822539141,0.315,3.234,-4.142975
1766147641127262597,0.318,3.237,-4.142975
1766147641425372020,0.32,3.249,-4.142975
1766147641724318699,0.324,3.252,-4.142975
1766147642025599676,0.333,3.252,-4.142975
1766147642320187716,0.336,3.251,-4.142975
1766147642627874226,0.331,3.254,-4.142975
1766147642925162614,0.327,3.261,-4.142975
1766147643226218502,0.33,3.266,-4.142975
1766147643526787466,0.332,3.264,-4.142975
1766147643825035401,0.34,3.27,-4.142975
1766147644123524086,0.334,3.262,-4.142975
1766147644428004631,0.333,3.261,-4.142975
1766147644720396236,0.327,3.261,-4.142975
1766147645025593354,0.332,3.254,-4.142975
1766147645325005077,0.332,3.258,-4.142975
1766147645625303464,0.334,3.263,-4.142975
1766147645914849630,0.335,3.26,-4.142975
1766147646224942984,0.334,3.254,-4.142975
1766147646526315559,0.329,3.253,-4.142975
1766147646826047992,0.337,3.254,-4.142975
1766147647126969201,0.342,3.249,-4.142975
1766147647420515346,0.333,3.248,-4.142975
1766147647726578851,0.333,3.247,-4.142975
1766147648015143092,0.32,3.254,0.0
1766147648324555756,0.32,3.25,-4.142975
1766147648622349796,0.31,3.243,-4.142975
1766147648922770108,0.303,3.239,-4.142975
1766147649225695537,0.299,3.234,-4.142975
1766147649525957350,0.303,3.231,-4.142975
1766147649815493981,0.301,3.23,-4.142975
1766147650128008353,0.312,3.224,-4.142975
1766147650429703607,0.322,3.226,-4.142975
1766147650727503591,0.327,3.235,-4.142975
1766147651023388292,0.328,3.24,-4.142975
1766147651322976156,0.331,3.246,-4.142975
1766147651627787183,0.339,3.257,-4.142975
1766147651925144959,0.347,3.262,-4.142975
1766147652222834845,0.349,3.263,-4.142975
1766147652526081209,0.355,3.257,-4.142975
1766147652816616171,0.358,3.252,-4.142975
1766147653124881347,0.357,3.257,-4.142975
1766147653413636477,0.357,3.248,-4.142975
1766147653728229446,0.353,3.24,-4.142975
1766147654016025549,0.35,3.242,-4.142975
1766147654311918513,0.354,3.232,-4.142975
1766147654625618062,0.354,3.245,-4.142975
1766147654925354120,0.355,3.242,-4.142975
1766147655231200510,0.354,3.251,-4.142975
1766147655524801695,0.344,3.254,-4.142975
1766147655826158427,0.342,3.253,-4.142975
1766147656125504902,0.338,3.255,-4.142975
1766147656422310155,0.335,3.255,-4.142975
1766147656724120670,0.337,3.247,-4.142975
1766147657040666613,0.347,3.233,-4.142975
1766147657328285865,0.351,3.218,-4.142975
1766147657626765173,0.352,3.213,-4.142975
