timestamp,values
1766148343080080443,"[285.99609375, 284.23828125]"
1766148343380004984,"[285.99609375, 284.23828125]"
1766148343679975524,"[285.99609375, 284.23828125]"
1766148343979971934,"[285.99609375, 284.23828125]"
1766148344279946309,"[285.99609375, 284.23828125]"
1766148344579910927,"[285.99609375, 284.23828125]"
1766148344879916029,"[285.99609375, 284.23828125]"
1766148345179971591,"[285.99609375, 284.23828125]"
1766148345479853469,"[285.99609375, 284.23828125]"
1766148345779973469,"[285.99609375, 284.23828125]"
1766148346080107379,"[285.99609375, 284.23828125]"
1766148346380139394,"[285.99609375, 284.23828125]"
1766148346679814999,"[285.99609375, 284.150390625]"
1766148346979894680,"[285.99609375, 284.23828125]"
1766148347279865980,"[285.99609375, 284.23828125]"
1766148347579994133,"[285.99609375, 284.23828125]"
1766148347879842470,"[285.99609375, 284.23828125]"
1766148348179837991,"[285.99609375, 284.23828125]"
1766148348480084626,"[285.99609375, 284.23828125]"
1766148348779995729,"[285.99609375, 284.23828125]"
1766148349079883652,"[285.99609375, 284.150390625]"
1766148349379952808,"[285.99609375, 284.23828125]"
1766148349679877000,"[285.99609375, 284.23828125]"
1766148349979952381,"[285.99609375, 284.23828125]"
1766148350280010640,"[285.99609375, 284.23828125]"
1766148350579927223,"[285.99609375, 284.23828125]"
1766148350879912021,"[285.99609375, 284.23828125]"
1766148351179934868,"[285.99609375, 284.23828125]"
1766148351479893499,"[285.99609375, 284.23828125]"
1766148351779961765,"[285.99609375, 284.23828125]"
1766148352079967516,"[285.99609375, 284.23828125]"
1766148352379902800,"[285.99609375, 284.23828125]"
1766148352679899688,"[285.99609375, 284.23828125]"
1766148352979895422,"[285.99609375, 284.23828125]"
1766148353279831073,"[285.99609375, 284.23828125]"
1766148353579857761,"[285.99609375, 284.23828125]"
1766148353880011107,"[285.99609375, 284.23828125]"
1766148354180021110,"[285.99609375, 284.23828125]"
1766148354480003315,"[285.99609375, 284.23828125]"
1766148354779979734,"[285.99609375, 284.23828125]"
1766148355080043561,"[285.99609375, 284.23828125]"
1766148355379949048,"[285.99609375, 284.23828125]"
1766148355681946546,"[285.99609375, 284.23828125]"
1766148355980039487,"[285.99609375, 284.23828125]"
1766148356280254460,"[285.99609375, 284.23828125]"
1766148356580463010,"[285.99609375, 284.23828125]"
1766148356880061231,"[285.99609375, 284.23828125]"
1766148357180262503,"[285.99609375, 284.23828125]"
1766148357480041503,"[285.99609375, 284.23828125]"
1766148357780278353,"[285.99609375, 284.23828125]"
1766148358080801333,"[285.99609375, 284.23828125]"
1766148358380655403,"[285.99609375, 284.23828125]"
1766148358681693822,"[285.99609375, 284.23828125]"
1766148358980448883,"[285.99609375, 284.23828125]"
1766148359280574095,"[285.99609375, 284.23828125]"
1766148359580490335,"[285.99609375, 284.23828125]"
1766148359879944494,"[285.99609375, 284.23828125]"
1766148360180354486,"[285.99609375, 284.23828125]"
1766148360479932453,"[285.99609375, 284.23828125]"
1766148360779954937,"[285.99609375, 284.23828125]"
1766148361079910133,"[285.99609375, 284.23828125]"
1766148361379934589,"[285.99609375, 284.23828125]"
