timestamp,x,y,theta
1766148340726189909,-0.025,-0.889,-2.646355
1766148341008957089,-0.179,-0.98,-2.838342
1766148341328311996,-0.381,-1.032,-2.733622
1766148341628843745,-0.605,-1.025,-2.4031
1766148341928448438,-0.815,-0.984,-2.038763
1766148342227054971,-1.122,-0.856,-2.070397
1766148342528180330,-1.305,-0.774,-2.075851
1766148342829472522,-1.495,-0.675,-1.769328
1766148343128447171,-1.64,-0.541,-1.439897
1766148343414632775,-1.654,-0.452,-1.171552
1766148343727824592,-1.617,-0.357,-1.149736
1766148344025869684,-1.583,-0.237,-1.196641
1766148344324851521,-1.542,-0.063,-1.123556
1766148344629443882,-1.458,0.098,-1.264273
1766148344914640298,-1.4,0.316,-1.278454
1766148345224577618,-1.337,0.557,-1.432261
1766148345526711616,-1.284,0.805,-1.45735
1766148345830663521,-1.213,1.036,-1.336268
1766148346120028075,-1.117,1.305,-1.366811
1766148346419237508,-1.028,1.581,-1.47044
1766148346725900495,-0.977,1.87,-1.494438
1766148347021422455,-0.905,2.158,-1.435533
1766148347319256578,-0.839,2.448,-1.446442
1766148347622795070,-0.747,2.737,-1.539162
1766148347925952879,-0.725,3.012,-1.500983
1766148348221722134,-0.671,3.312,-1.332995
1766148348526960681,-0.609,3.625,-1.322087
1766148348824003892,-0.518,3.912,-1.424625
1766148349126938913,-0.486,4.18,-1.407172
1766148349425799631,-0.439,4.516,-1.179188
1766148349728580393,-0.341,4.837,-1.138827
1766148350027110366,-0.241,5.132,-1.047198
1766148350326549566,-0.097,5.418,-0.843212
1766148350624580831,0.161,5.795,-0.56396
1766148350928736716,0.428,6.065,-0.424333
1766148351225955523,0.708,6.274,-0.273799
1766148351529389434,0.96,6.35,-0.082903
1766148351825455426,1.214,6.416,0.092721
1766148352125634055,1.487,6.395,0.125446
1766148352428411920,1.756,6.353,0.067632
1766148352728525477,2.07,6.365,0.121082
1766148353028943183,2.395,6.338,0.172351
1766148353328180887,2.722,6.344,0.095993
1766148353621512065,3.069,6.35,-0.113446
1766148353922896561,3.367,6.241,-0.09163
1766148354227587984,3.779,6.01,0.069813
1766148354521121052,4.397,5.672,0.239983
1766148354828763509,4.622,5.54,0.374155
1766148355129205396,4.927,5.46,0.467966
1766148355430783400,5.19,5.226,0.700313
1766148355725136014,5.459,4.942,0.734129
1766148356022877170,5.566,4.727,0.662134
1766148356323557989,5.69,4.491,-5.497787
1766148356631627668,5.78,4.237,-5.227261
1766148356922807747,5.828,3.933,-5.250169
1766148357222508928,5.886,3.65,-5.382159
1766148357519810227,5.946,3.366,-5.433428
1766148357824137789,6.002,3.07,-5.177083
1766148358123166004,6.154,2.707,-5.209808
1766148358425971198,6.16,2.435,-5.307983
1766148358726151845,6.376,2.091,-5.325436
1766148359022569408,6.413,1.775,-5.096361
1766148359323235880,6.496,1.409,-4.984006
1766148359624271084,6.431,1.13,-4.769112
1766148359926776328,6.243,0.885,-4.529129
1766148360224545759,6.06,0.614,-4.180064
1766148360529345653,5.827,0.321,-4.087343
1766148360824943786,5.308,-0.546,-4.212788
1766148361122191331,5.202,-0.674,-4.286965
1766148361427148767,5.083,-0.731,-4.041528
