timestamp,values
1766147749985828234,"[284.0625, 283.974609375]"
1766147750284059131,"[284.0625, 283.974609375]"
1766147750583241982,"[284.0625, 283.974609375]"
1766147750883637222,"[284.0625, 283.974609375]"
1766147751184155757,"[284.0625, 283.974609375]"
1766147751481982591,"[284.0625, 283.974609375]"
1766147751784543968,"[284.0625, 283.974609375]"
1766147752083383776,"[284.0625, 283.974609375]"
1766147752385015852,"[284.0625, 283.974609375]"
1766147752684678346,"[284.0625, 283.974609375]"
1766147752982050419,"[284.0625, 283.974609375]"
1766147753283115612,"[284.0625, 283.974609375]"
1766147753585886018,"[284.0625, 283.974609375]"
1766147753885870489,"[284.0625, 283.974609375]"
1766147754182027345,"[284.0625, 283.974609375]"
1766147754484978627,"[284.0625, 283.974609375]"
1766147754782716731,"[284.0625, 283.974609375]"
1766147755082885852,"[284.0625, 283.974609375]"
1766147755389975381,"[284.0625, 283.974609375]"
1766147755682431198,"[284.0625, 283.974609375]"
1766147755981924767,"[284.0625, 283.974609375]"
1766147756282652072,"[284.0625, 283.974609375]"
1766147756583535720,"[284.0625, 283.974609375]"
1766147756885707610,"[284.0625, 283.974609375]"
1766147757184271790,"[284.0625, 283.974609375]"
1766147757482863580,"[284.0625, 283.974609375]"
1766147757784039200,"[284.0625, 283.974609375]"
1766147758082499908,"[284.0625, 283.974609375]"
1766147758385823245,"[284.0625, 283.974609375]"
1766147758685157870,"[284.0625, 283.974609375]"
1766147758984013190,"[284.0625, 283.974609375]"
1766147759285333392,"[284.0625, 283.974609375]"
1766147759581947214,"[284.0625, 283.974609375]"
1766147759885013987,"[284.0625, 283.974609375]"
1766147760186604072,"[284.0625, 283.974609375]"
1766147760482677915,"[284.0625, 283.974609375]"
1766147760783356249,"[284.0625, 283.974609375]"
1766147761084916483,"[284.0625, 283.974609375]"
1766147761384220694,"[284.0625, 283.974609375]"
1766147761682348204,"[284.0625, 283.974609375]"
1766147761985927160,"[284.0625, 283.974609375]"
1766147762282433513,"[284.0625, 283.974609375]"
1766147762585406457,"[284.0625, 283.974609375]"
1766147762887110350,"[284.0625, 283.974609375]"
1766147763183252499,"[284.0625, 283.974609375]"
1766147763485064185,"[284.0625, 283.974609375]"
1766147763783378322,"[284.0625, 283.974609375]"
1766147764085105846,"[284.0625, 283.974609375]"
1766147764382267338,"[284.0625, 283.974609375]"
1766147764683067087,"[284.0625, 283.974609375]"
1766147764983567226,"[284.0625, 283.974609375]"
1766147765284935463,"[284.0625, 283.974609375]"
1766147765582718545,"[284.0625, 283.974609375]"
1766147765884734295,"[284.0625, 283.974609375]"
1766147766182697656,"[284.0625, 283.974609375]"
1766147766485100828,"[284.0625, 283.974609375]"
1766147766783218083,"[284.0625, 283.974609375]"
1766147767081820666,"[284.0625, 283.974609375]"
1766147767380618126,"[284.0625, 283.974609375]"
1766147767682416177,"[284.0625, 283.974609375]"
1766147767982557267,"[284.0625, 283.974609375]"
1766147768282314683,"[284.0625, 283.974609375]"
1766147768582595288,"[284.0625, 283.974609375]"
1766147768883700632,"[284.0625, 283.974609375]"
1766147769183442798,"[284.0625, 283.974609375]"
1766147769485572794,"[284.0625, 283.974609375]"
1766147769782124170,"[284.0625, 283.974609375]"
1766147770082516666,"[284.0625, 283.974609375]"
1766147770384370014,"[284.0625, 283.974609375]"
1766147770682771894,"[284.0625, 283.974609375]"
1766147770983221790,"[284.0625, 283.974609375]"
1766147771285407283,"[284.0625, 283.974609375]"
1766147771583387244,"[284.0625, 283.974609375]"
1766147771885713192,"[284.0625, 283.974609375]"
1766147772185467388,"[284.0625, 283.974609375]"
1766147772483240328,"[284.0625, 283.974609375]"
1766147772783483228,"[284.0625, 283.974609375]"
1766147773085012763,"[284.0625, 283.974609375]"
1766147773383700820,"[284.0625, 283.974609375]"
