timestamp,x,y,theta
1766147750026967097,1.944,1.65,-3.748095
1766147750321684281,1.952,1.668,-3.76773
1766147750622428181,1.939,1.684,-3.780819
1766147750921413559,1.934,1.687,-3.776456
1766147751221505202,1.92,1.709,-3.773184
1766147751522421265,1.901,1.738,-3.774275
1766147751823145932,1.889,1.756,-3.78191
1766147752122140905,1.869,1.785,-3.784092
1766147752422356273,1.858,1.809,-3.785183
1766147752725641875,1.847,1.823,-3.78191
1766147753024167267,1.836,1.845,-3.78191
1766147753323122224,1.825,1.858,-3.78191
1766147753624264130,1.813,1.873,-3.779729
1766147753923680647,1.801,1.897,-3.784092
1766147754235921274,1.789,1.914,-3.790637
1766147754526944956,1.782,1.923,-3.800454
1766147754826078300,1.777,1.927,-3.810272
1766147755125170545,1.764,1.942,-3.820089
1766147755422459182,1.758,1.943,-3.820089
1766147755722220818,1.75,1.944,-3.827725
1766147756023319169,1.745,1.939,-3.841906
1766147756323680577,1.74,1.931,-3.841906
1766147756619412357,1.743,1.927,-3.846269
1766147756924281645,1.741,1.932,-3.84736
1766147757220841971,1.744,1.931,-3.850633
1766147757523731763,1.748,1.926,-3.850633
1766147757823966292,1.757,1.916,-3.849542
1766147758124510352,1.755,1.916,-3.851723
1766147758423656449,1.754,1.915,-3.857178
1766147758723997539,1.757,1.915,-3.858268
1766147759018727061,1.762,1.913,-3.86045
1766147759324192885,1.76,1.906,-3.859359
1766147759619011406,1.759,1.896,-3.857178
1766147759921270381,1.754,1.889,-3.853905
1766147760226322120,1.758,1.882,-3.851723
1766147760524982934,1.761,1.865,-3.851723
1766147760823851610,1.775,1.84,-3.852814
1766147761121018872,1.78,1.822,-3.856087
1766147761424991303,1.8,1.813,-3.864813
1766147761739074482,1.808,1.805,-3.870268
1766147762022909983,1.812,1.806,-3.869177
1766147762319631340,1.821,1.808,-3.868086
1766147762624671961,1.829,1.806,-3.864813
1766147762923327173,1.824,1.812,-3.865904
1766147763224756585,1.821,1.816,-3.868086
1766147763523757837,1.826,1.808,-3.871358
1766147763835010372,1.843,1.779,-3.87354
1766147764122109127,1.858,1.768,-3.871358
1766147764426863907,1.848,1.778,-3.871358
1766147764722433285,1.849,1.752,-3.868086
1766147765023723682,1.87,1.717,-3.865904
1766147765337082162,1.868,1.713,-3.864813
1766147765625292054,1.847,1.731,-3.866995
1766147765924433116,1.82,1.758,-3.870268
1766147766221495843,1.795,1.794,-3.874631
1766147766524191156,1.777,1.822,-3.865904
1766147766820473559,1.751,1.855,-3.862632
1766147767123185308,1.736,1.883,-3.86045
1766147767421514698,1.723,1.904,-3.862632
1766147767720842896,1.723,1.913,-3.86045
1766147768023037748,1.728,1.91,-3.86045
1766147768325620085,1.724,1.922,-3.86045
1766147768625876066,1.72,1.928,-3.861541
1766147768921253425,1.723,1.929,-3.859359
1766147769222912857,1.721,1.924,-3.86045
1766147769522202990,1.723,1.923,-3.859359
1766147769821860480,1.731,1.923,-3.86045
1766147770124542239,1.735,1.918,-3.861541
1766147770422937531,1.744,1.923,-3.864813
1766147770722655702,1.751,1.922,-3.862632
1766147771023909777,1.752,1.924,-3.861541
1766147771323694685,1.755,1.916,-3.864813
1766147771621867821,1.757,1.909,-3.870268
1766147771923371698,1.761,1.896,-3.868086
1766147772224151172,1.764,1.883,-3.878994
1766147772522461223,1.762,1.878,-3.881176
1766147772821277588,1.768,1.857,-3.881176
1766147773122666060,1.778,1.839,-3.881176
1766147773421129407,1.784,1.821,-3.878994
