timestamp,values
1766148147182898190,"[285.908203125, 284.23828125]"
1766148147483109298,"[285.908203125, 284.23828125]"
1766148147781798913,"[285.908203125, 284.23828125]"
1766148148083068882,"[285.908203125, 284.23828125]"
1766148148381895036,"[285.908203125, 284.23828125]"
1766148148682976235,"[285.908203125, 284.23828125]"
1766148148980792605,"[285.908203125, 284.23828125]"
1766148149281350190,"[285.908203125, 284.23828125]"
1766148149582489813,"[285.908203125, 284.23828125]"
1766148149881699090,"[285.99609375, 284.23828125]"
1766148150181290384,"[285.99609375, 284.23828125]"
1766148150482282899,"[285.908203125, 284.23828125]"
1766148150781011907,"[285.99609375, 284.23828125]"
1766148151081786908,"[285.99609375, 284.23828125]"
1766148151380285792,"[285.99609375, 284.23828125]"
1766148151682041377,"[285.99609375, 284.23828125]"
1766148151981594183,"[285.908203125, 284.23828125]"
1766148152283438914,"[285.908203125, 284.23828125]"
1766148152581197500,"[285.99609375, 284.23828125]"
1766148152883245899,"[285.908203125, 284.23828125]"
1766148153181715573,"[285.908203125, 284.23828125]"
1766148153481923501,"[285.908203125, 284.23828125]"
1766148153783057621,"[285.908203125, 284.23828125]"
1766148154081199597,"[285.99609375, 284.23828125]"
1766148154382964394,"[285.99609375, 284.23828125]"
1766148154682979369,"[285.99609375, 284.23828125]"
1766148154982035008,"[285.908203125, 284.23828125]"
1766148155280815770,"[285.99609375, 284.23828125]"
1766148155580814240,"[285.99609375, 284.23828125]"
1766148155882345592,"[285.99609375, 284.23828125]"
1766148156181257643,"[285.908203125, 284.23828125]"
1766148156480825100,"[285.908203125, 284.23828125]"
1766148156782979817,"[285.908203125, 284.23828125]"
1766148157079904713,"[285.99609375, 284.23828125]"
1766148157380092989,"[285.99609375, 284.23828125]"
1766148157682024010,"[285.908203125, 284.23828125]"
1766148157982312088,"[285.908203125, 284.23828125]"
1766148158280858159,"[285.908203125, 284.23828125]"
1766148158581278987,"[285.908203125, 284.23828125]"
1766148158880674879,"[285.908203125, 284.23828125]"
1766148159181020324,"[285.908203125, 284.23828125]"
1766148159481500459,"[285.908203125, 284.23828125]"
1766148159781188178,"[285.99609375, 284.23828125]"
1766148160081860750,"[285.99609375, 284.23828125]"
1766148160381330285,"[285.908203125, 284.23828125]"
1766148160681043227,"[285.908203125, 284.23828125]"
1766148160982330648,"[285.908203125, 284.23828125]"
1766148161279981184,"[285.908203125, 284.23828125]"
1766148161581435939,"[285.908203125, 284.23828125]"
1766148161882064202,"[285.908203125, 284.23828125]"
1766148162181960742,"[285.908203125, 284.23828125]"
1766148162480128880,"[285.908203125, 284.23828125]"
1766148162782914547,"[285.99609375, 284.23828125]"
1766148163081466213,"[285.99609375, 284.23828125]"
1766148163383206788,"[285.908203125, 284.23828125]"
1766148163682408431,"[285.99609375, 284.23828125]"
1766148163982238029,"[285.99609375, 284.23828125]"
1766148164280996471,"[285.99609375, 284.23828125]"
1766148164580777336,"[285.908203125, 284.23828125]"
1766148164881807905,"[285.908203125, 284.23828125]"
