timestamp,x,y,theta
1766148147529183502,4.173,0.229,-1.986403
1766148147818269550,4.011,0.341,-1.81187
1766148148117253451,3.868,0.491,-1.586068
1766148148428292716,3.673,0.63,-1.45735
1766148148729398659,3.493,0.866,-1.554434
1766148149013849763,3.343,1.08,-1.54898
1766148149316960603,3.132,1.29,-1.682061
1766148149628033151,2.896,1.492,-1.776963
1766148149917607018,2.636,1.72,-1.992948
1766148150227841742,2.299,1.936,-2.135847
1766148150529395922,1.966,2.05,-2.165299
1766148150817363832,1.581,2.197,0.0
1766148151127908804,1.269,2.215,-2.34965
1766148151430825192,0.905,2.313,-2.367103
1766148151728450219,0.513,2.408,-2.278746
1766148152030695488,0.125,2.504,-2.302744
1766148152328953260,-0.517,2.59,-2.296199
1766148152627521256,-0.996,2.627,-2.146755
1766148152917628467,-1.377,2.804,-1.98204
1766148153218508635,-1.621,2.933,-1.884956
1766148153529471034,-1.774,3.029,-1.592613
1766148153826414731,-1.869,3.106,-1.335177
1766148154129023519,-1.927,3.23,-1.090831
1766148154428375553,-1.952,3.387,-1.051561
1766148154727244865,-1.993,3.579,-0.99811
1766148155026937188,-1.99,3.78,-0.847576
1766148155329699599,-1.887,4.122,-0.674133
1766148155626150276,-1.863,4.332,-0.664316
1766148155919904787,-1.762,4.51,-0.487601
1766148156228071506,-1.639,4.689,-0.165806
1766148156522593225,-1.511,4.86,0.169079
1766148156831426557,-1.334,5.021,0.213803
1766148157118427985,-1.109,5.162,0.237801
1766148157426654719,-0.867,5.269,0.389427
1766148157727090788,-0.59,5.37,0.57814
1766148158028287159,-0.255,5.436,0.47233
1766148158326349678,0.089,5.512,0.462512
1766148158620915867,0.438,5.586,0.640318
1766148158914944838,0.858,5.601,0.0
1766148159229017355,1.2,5.627,-5.51415
1766148159528021413,1.678,5.579,-5.526149
1766148159828385279,2.011,5.595,-5.282893
1766148160114974690,2.293,5.554,-5.079999
1766148160426156053,2.609,5.51,-5.387613
1766148160716946688,2.917,5.458,0.716676
1766148161029058633,3.217,5.37,-5.331981
1766148161327539431,3.501,5.287,-5.072363
1766148161629229932,3.853,5.136,-5.366887
1766148161920239886,4.232,4.988,-5.417066
1766148162218457193,4.488,4.881,-5.136722
1766148162527974373,4.712,4.75,-4.948008
1766148162828682445,4.94,4.595,-5.126905
1766148163125533924,5.167,4.437,-5.14654
1766148163428483173,5.367,4.258,-4.694936
1766148163729889705,5.499,4.047,-4.331689
1766148164027784152,5.632,3.816,-4.492041
1766148164329250614,5.731,3.582,-4.390594
1766148164621733942,5.783,3.346,-3.954262
1766148164928196664,5.796,3.102,-3.677191
